PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Hao, HM; Shi, JL; Xu, H; Li, X; Lang, XJ				Hao, Huimin; Shi, Ji-Long; Xu, Hui; Li, Xia; Lang, Xianjun			N-hydroxyphthalimide-TiO2 complex visible light photocatalysis	APPLIED CATALYSIS B-ENVIRONMENTAL																Lang, Xianjun/D-6386-2011	Lang, Xianjun/0000-0001-7479-9044												0926-3373	1873-3883				JUN 5	2019	246						149	155		10.1016/j.apcatb.2019.01.037								WOS:000460495400016						
J	Yang, XX; Xu, WC; Cao, S; Zhu, SL; Liang, YQ; Cui, ZD; Yang, XJ; Li, ZY; Wu, SL; Inoue, A; Chen, LY				Yang, Xinxin; Xu, Wence; Cao, Shuo; Zhu, Shengli; Liang, Yanqin; Cui, Zhenduo; Yang, Xianjin; Li, Zhaoyang; Wu, Shuilin; Inoue, Akihisa; Chen, Luyang			An amorphous nanoporous PdCuNi-S hybrid electrocatalyst for highly efficient hydrogen production	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						156	165		10.1016/j.apcatb.2019.01.030								WOS:000460495400017						
J	Wang, XX; Cong, QL; Chen, L; Shi, Y; Shi, Y; Li, SJ; Li, W				Wang, Xiaoxiang; Cong, Qiliang; Chen, Liang; Shi, Yun; Shi, Yao; Li, Sujing; Li, Wei			The alkali resistance of CuNbTi catalyst for selective reduction of NO by NH3: A comparative investigation with VWTi catalyst	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						166	179		10.1016/j.apcatb.2019.01.049								WOS:000460495400018						
J	Adamska, K; Okal, J; Tylus, W				Adamska, Katarzyna; Okal, Janina; Tylus, Wlodzimierz			Stable bimetallic Ru-Mo/Al2O3 catalysts for the light alkane combustion: Effect of the Mo addition	APPLIED CATALYSIS B-ENVIRONMENTAL																Tylus, Wlodzimierz/I-9225-2018	Tylus, Wlodzimierz/0000-0001-6780-5100; Adamska, Katarzyna/0000-0002-9263-7644												0926-3373	1873-3883				JUN 5	2019	246						180	194		10.1016/j.apcatb.2019.01.059								WOS:000460495400019						
J	Xiao, M; Wang, ZL; Luo, B; Wang, SC; Wang, LZ				Xiao, Mu; Wang, Zhiliang; Luo, Bin; Wang, Songcan; Wang, Lianzhou			Enhancing photocatalytic activity of tantalum nitride by rational suppression of bulk, interface and surface charge recombination	APPLIED CATALYSIS B-ENVIRONMENTAL																Wang, Lianzhou/J-2140-2014; Wang, Songcan/H-2116-2016; Luo, Bin/P-7836-2015	Wang, Lianzhou/0000-0002-5947-306X; Wang, Songcan/0000-0002-3848-1191; Luo, Bin/0000-0003-2088-6403												0926-3373	1873-3883				JUN 5	2019	246						195	201		10.1016/j.apcatb.2019.01.053								WOS:000460495400020						
J	Zhang, MM; Chen, ZL; Wang, Y; Zhang, JF; Zheng, XR; Rao, DW; Han, XP; Zhong, C; Hu, WB; Deng, YD				Zhang, Mengmeng; Chen, Zelin; Wang, Yang; Zhang, Jinfeng; Zheng, Xuerong; Rao, Dewei; Han, Xiaopeng; Zhong, Cheng; Hu, Wenbin; Deng, Yida			Enhanced light harvesting and electron-hole separation for efficient photocatalytic hydrogen evolution over Cu7S4-enwrapped Cu2O nanocubes	APPLIED CATALYSIS B-ENVIRONMENTAL																Zhong, Cheng/E-7733-2012; Rao, Dewei/J-1021-2014	Zhong, Cheng/0000-0003-1852-5860; Rao, Dewei/0000-0003-0410-5259												0926-3373	1873-3883				JUN 5	2019	246						202	210		10.1016/j.apcatb.2019.01.042								WOS:000460495400021						
J	Tarkwa, JB; Acayanka, E; Jiang, B; Oturan, N; Kamgang, GY; Laminsi, S; Oturan, MA				Tarkwa, Jean-Baptiste; Acayanka, Elie; Jiang, Bo; Oturan, Nihal; Kamgang, Georges Y.; Laminsi, Samuel; Oturan, Mehmet A.			Highly efficient degradation of azo dye Orange G using laterite soil as catalyst under irradiation of non-thermal plasma	APPLIED CATALYSIS B-ENVIRONMENTAL																	Acayanka, Elie/0000-0002-2586-656X												0926-3373	1873-3883				JUN 5	2019	246						211	220		10.1016/j.apcatb.2019.01.066								WOS:000460495400022						
J	Yan, XL; Hu, T; Liu, P; Li, S; Zhao, BR; Zhang, Q; Jiao, WY; Chen, S; Wang, PF; Lu, JJ; Fan, LM; Deng, XN; Pan, YX				Yan, Xiaoliang; Hu, Tong; Liu, Peng; Li, Sha; Zhao, Binran; Zhang, Qian; Jiao, Weiyong; Chen, Shuai; Wang, Pengfei; Lu, Jingjun; Fan, Liming; Deng, Xiaonan; Pan, Yun-Xiang			Highly efficient and stable Ni/CeO2-SiO2 catalyst for dry reforming of methane: Effect of interfacial structure of Ni/CeO2 on SiO2	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						221	231		10.1016/j.apcatb.2019.01.070								WOS:000460495400023						
J	Zeng, F; Xi, XY; Cao, HT; Pei, YT; Heeres, HJ; Palkovits, R				Zeng, Feng; Xi, Xiaoying; Cao, Huatang; Pei, Yutao; Heeres, Hero Jan; Palkovits, Regina			Synthesis of mixed alcohols with enhanced C3+alcohol production by CO hydrogenation over potassium promoted molybdenum sulfide	APPLIED CATALYSIS B-ENVIRONMENTAL																heeres, Hero J/B-8745-2009; Palkovits, Regina/G-2207-2014	Cao, Huatang/0000-0002-3706-3035; Pei, Yutao/0000-0002-1817-2228; Palkovits, Regina/0000-0002-4970-2957												0926-3373	1873-3883				JUN 5	2019	246						232	241		10.1016/j.apcatb.2019.01.063								WOS:000460495400024						
J	Wang, AY; Arora, P; Bernin, D; Kumar, A; Kamasamudram, K; Olsson, L				Wang, Aiyong; Arora, Prakhar; Bernin, Diana; Kumar, Ashok; Kamasamudram, Krishna; Olsson, Louise			Investigation of the robust hydrothermal stability of Cu/LTA for NH3-SCR reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																Bernin, Diana/P-3643-2019	Bernin, Diana/0000-0002-9611-2263; Wang, Aiyong/0000-0002-4213-9735; Olsson, Louise/0000-0002-8308-0784												0926-3373	1873-3883				JUN 5	2019	246						242	253		10.1016/j.apcatb.2019.01.039								WOS:000460495400025						
J	Briguglio, N; Siracusano, S; Bonura, G; Sebastian, D; Arico, AS				Briguglio, Nicola; Siracusano, Stefania; Bonura, Giuseppe; Sebastian, David; Arico, Antonino S.			Flammability reduction in a pressurised water electrolyser based on a thin polymer electrolyte membrane through a Pt-alloy catalytic approach	APPLIED CATALYSIS B-ENVIRONMENTAL																Sebastian, David/L-2758-2017	Sebastian, David/0000-0002-7722-2993												0926-3373	1873-3883				JUN 5	2019	246						254	265		10.1016/j.apcatb.2018.12.079								WOS:000460495400026						
J	Byrne, C; Moran, L; Hermosilla, D; Merayo, N; Blanco, A; Rhatigan, S; Hinder, S; Ganguly, P; Nolan, M; Pillai, SC				Byrne, Ciara; Moran, Lorraine; Hermosilla, Daphne; Merayo, Noemi; Blanco, Angeles; Rhatigan, Stephen; Hinder, Steven; Ganguly, Priyanka; Nolan, Michael; Pillai, Suresh C.			Effect of Cu doping on the anatase-to-rutile phase transition in TiO2 photocatalysts: Theory and experiments	APPLIED CATALYSIS B-ENVIRONMENTAL																Merayo, Noemi/F-4063-2016; Hermosilla, Daphne/N-8160-2019; Byrne, Ciara S./L-3541-2016; Pillai, Suresh C./K-4724-2015	Merayo, Noemi/0000-0002-6609-4092; Hermosilla, Daphne/0000-0002-0006-2397; Nolan, Michael/0000-0002-5224-8580; Pillai, Suresh C./0000-0002-8901-9116; Byrne, Ciara/0000-0001-5215-1511; GANGULY, PRIYANKA/0000-0002-2709-2553												0926-3373	1873-3883				JUN 5	2019	246						266	276		10.1016/j.apcatb.2019.01.058								WOS:000460495400027						
J	Gong, WH; Jiang, Z; Wu, RF; Liu, Y; Huang, L; Hu, N; Tsiakaras, P; Shen, PK				Gong, Wenhao; Jiang, Zheng; Wu, Rifeng; Liu, Yang; Huang, Lei; Hu, Ning; Tsiakaras, Panagiotis; Shen, Pei Kang			Cross-double dumbbell-like Pt-Ni nanostructures with enhanced catalytic performance toward the reactions of oxygen reduction and methanol oxidation	APPLIED CATALYSIS B-ENVIRONMENTAL																	Huang, Lei/0000-0002-9896-8073												0926-3373	1873-3883				JUN 5	2019	246						277	283		10.1016/j.apcatb.2019.01.061								WOS:000460495400028						
J	Dong, WY; Li, L; Chen, X; Yao, YW; Ru, YK; Sun, YJ; Hua, WM; Zhuang, GS; Zhao, DY; Yan, SW; Song, WH				Dong, Weiyang; Li, Li; Chen, Xin; Yao, Youwei; Ru, Yankun; Sun, Yaojun; Hua, Weiming; Zhuang, Guoshun; Zhao, Dongyuan; Yan, Shuwen; Song, Weihua			Mesoporous anatase crystal-silica nanocomposites with large intrawall mesopores presenting quite excellent photocatalytic performances	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						284	295		10.1016/j.apcatb.2019.01.055								WOS:000460495400029						
J	Liu, ZP; Zhao, L; Liu, YH; Gao, ZC; Yuan, SS; Li, XT; Li, N; Miao, SD				Liu, Zhipeng; Zhao, Lei; Liu, Yuhua; Gao, Zhichao; Yuan, Shisheng; Li, Xiaotian; Li, Nan; Miao, Shiding			Vertical nanosheet array of 1T phase MoS2 for efficient and stable hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						296	302		10.1016/j.apcatb.2019.01.062								WOS:000460495400030						
J	Lv, N; Li, YY; Huang, ZL; Li, T; Ye, SY; Dionysiou, DD; Song, XL				Lv, Ning; Li, Yingying; Huang, Zhuolin; Li, Ting; Ye, Shengying; Dionysiou, Dionysios D.; Song, Xianliang			Synthesis of GO/TiO2/Bi2WO6 nanocomposites with enhanced visible light photocatalytic degradation of ethylene	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						303	311		10.1016/j.apcatb.2019.01.068								WOS:000460495400031						
J	Shi, QL; Liu, TZ; Li, Q; Xin, Y; Lu, XX; Tang, WX; Zhang, ZL; Gao, PX; Anderson, JA				Shi, Qiaolan; Liu, Taizheng; Li, Qian; Xin, Ying; Lu, Xingxu; Tang, Wenxiang; Zhang, Zhaoliang; Gao, Pu-Xian; Anderson, James A.			Multiple strategies to decrease ignition temperature for soot combustion on ultrathin MnO2-x nanosheet array	APPLIED CATALYSIS B-ENVIRONMENTAL																Zhang, Zhaoliang/T-2714-2017	Zhang, Zhaoliang/0000-0002-8048-0600												0926-3373	1873-3883				JUN 5	2019	246						312	321		10.1016/j.apcatb.2018.12.078								WOS:000460495400032						
J	Park, H; Oh, S; Lee, S; Choi, S; Oh, M				Park, Heejun; Oh, Sojin; Lee, Sujeong; Choi, Sora; Oh, Moonhyun			Cobalt-and nitrogen-codoped porous carbon catalyst made from core-shell type hybrid metal-organic framework (ZIF-L@ZIF-67) and its efficient oxygen reduction reaction (ORR) activity	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						322	329		10.1016/j.apcatb.2019.01.083								WOS:000460495400033						
J	Sun, ZC; Zhu, MS; Lv, XS; Liu, YY; Shi, C; Dai, Y; Wang, AJ; Majima, T				Sun, Zhichao; Zhu, Mingshan; Lv, Xingshuai; Liu, Yingya; Shi, Chuan; Dai, Ying; Wang, Anjie; Majima, Tetsuro			Insight into iron group transition metal phosphides (Fe2P, Co2P, Ni2P) for improving photocatalytic hydrogen generation	APPLIED CATALYSIS B-ENVIRONMENTAL																Zhu, Mingshan/B-5244-2012	Zhu, Mingshan/0000-0002-5926-5383												0926-3373	1873-3883				JUN 5	2019	246						330	336		10.1016/j.apcatb.2019.01.072								WOS:000460495400034						
J	Che, QJ; Li, Q; Tan, Y; Chen, XH; Xu, X; Chen, YS				Che, Qijun; Li, Qing; Tan, Ya; Chen, Xinhong; Xu, Xi; Chen, Yashi			One-step controllable synthesis of amorphous (Ni-Fe)S-x/NiFe(OH)(y) hollow microtube/sphere films as superior bifunctional electrocatalysts for quasi industrial water splitting at large-current-density	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						337	348		10.1016/j.apcatb.2019.01.082								WOS:000460495400035						
J	Xu, YS; He, X; Zhong, H; Singh, DJ; Zhang, LJ; Wang, RH				Xu, Yangsen; He, Xin; Zhong, Hong; Singh, David J.; Zhang, Lijun; Wang, Ruihu			Solid salt confinement effect: An effective strategy to fabricate high crystalline polymer carbon nitride for enhanced photocatalytic hydrogen evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				JUN 5	2019	246						349	355		10.1016/j.apcatb.2019.01.069								WOS:000460495400036						
J	Lee, JH; Lee, SH; Choung, JW; Kim, CH; Lee, KY				Lee, Jae Hwan; Lee, Seong Ho; Choung, Jin Woo; Kim, Chang Hwan; Lee, Kwan-Young			Ag-incorporated macroporous CeO2 catalysts for soot oxidation: Effects of Ag amount on the generation of active oxygen species	APPLIED CATALYSIS B-ENVIRONMENTAL																Lee, Kwan-Young/F-7603-2013													0926-3373	1873-3883				JUN 5	2019	246						356	366		10.1016/j.apcatb.2019.01.064								WOS:000460495400037						
J	Lei, S; Li, QH; Kang, Y; Gu, ZG; Zhang, J				Lei, Song; Li, Qiao-Hong; Kang, Yao; Gu, Zhi-Gang; Zhang, Jian			Epitaxial growth of oriented prussian blue analogue derived well-aligned CoFe2O4 thin film for efficient oxygen evolution reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																Gu, Zhi-Gang/H-5682-2017	Gu, Zhi-Gang/0000-0001-6538-2917												0926-3373	1873-3883				MAY 15	2019	245						1	9		10.1016/j.apcatb.2018.12.036								WOS:000467661700001						
J	Wang, YW; Jin, S; Sun, XQ; Wei, SH; Chen, L; Xu, XX				Wang, Yawei; Jin, Shu; Sun, Xiaoqin; Wei, Shunhang; Chen, Long; Xu, Xiaoxiang			Switching on efficient photocatalytic water oxidation reactions over CaNbO2N by Mg modifications under visible light illumination	APPLIED CATALYSIS B-ENVIRONMENTAL																Xu, Xiaoxiang/J-6245-2015	Xu, Xiaoxiang/0000-0002-5042-9505; yawei, wang/0000-0003-3883-9621												0926-3373	1873-3883				MAY 15	2019	245						10	19		10.1016/j.apcatb.2018.12.033								WOS:000467661700002						
J	Sun, WJ; Wei, HZ; An, LY; Jin, CY; Wu, HL; Xiong, ZA; Pu, CY; Sun, CL				Sun, Wenjing; Wei, Huangzhao; An, Lu Yang; Jin, Chengyu; Wu, Huiling; Xiong, Zi-ang; Pu, Chunying; Sun, Chenglin			Oxygen vacancy mediated La1-xCexFeO3-delta perovskite oxides as efficient catalysts for CWAO of acrylic acid by A-site Ce doping	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						20	28		10.1016/j.apcatb.2018.12.024								WOS:000467661700003						
J	Kim, M; Ju, H; Kim, J				Kim, Myeongjin; Ju, Hyun; Kim, Jooheon			Dihydrogen phosphate ion functionalized nanocrystalline thallium ruthenium oxide pyrochlore as a bifunctional electrocatalyst for aqueous Na-air batteries	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						29	39		10.1016/j.apcatb.2018.12.031								WOS:000467661700004						
J	Shoynkhorova, TB; Snytnikov, PV; Simonov, PA; Potemkin, DI; Rogozhnikov, VN; Gerasimov, EY; Salanov, AN; Belyaev, VD; Sobyanin, VA				Shoynkhorova, T. B.; Snytnikov, P. V.; Simonov, P. A.; Potemkin, D. I.; Rogozhnikov, V. N.; Gerasimov, E. Y.; Salanov, A. N.; Belyaev, V. D.; Sobyanin, V. A.			From alumina modified Rh/Ce0.75Zr0.25O2-delta catalyst towards composite Rh/Ce0.75Zr0.25O2-delta-eta-Al2O3/FeCrAl catalytic system for diesel conversion to syngas	APPLIED CATALYSIS B-ENVIRONMENTAL																Gerasimov, Evgeny/A-4663-2014	Gerasimov, Evgeny/0000-0002-3230-3335; Potemkin, Dmitriy/0000-0003-3129-3865												0926-3373	1873-3883				MAY 15	2019	245						40	48		10.1016/j.apcatb.2018.12.037								WOS:000467661700005						
J	Caudillo-Flores, U; Munoz-Batista, MJ; Hungria, AB; Haro, ML; Fernandez-Garcia, M; Kubacka, A				Caudillo-Flores, Uriel; Munoz-Batista, Mario J.; Hungria, Ana B.; Lopez Haro, Miguel; Fernandez-Garcia, Marcos; Kubacka, Anna			Toluene and styrene photo-oxidation quantum efficiency: Comparison between doped and composite tungsten-containing anatase-based catalysts	APPLIED CATALYSIS B-ENVIRONMENTAL																Hungria Hernandez, Ana Belen/I-8739-2014; Fernandez-Garcia, Marcos/A-8122-2014	Hungria Hernandez, Ana Belen/0000-0002-4622-6967; Caudillo-Flores, Uriel/0000-0002-2492-8407; Fernandez-Garcia, Marcos/0000-0002-9987-0289												0926-3373	1873-3883				MAY 15	2019	245						49	61		10.1016/j.apcatb.2018.12.032								WOS:000467661700006						
J	Li, L; Barnett, KJ; McClelland, DJ; Zhao, DT; Liu, GZ; Huber, GW				Li, Ling; Barnett, Kevin J.; McClelland, Daniel J.; Zhao, Dongting; Liu, Guozhu; Huber, George W.			Gas-phase dehydration of tetrahydrofurfuryl alcohol to dihydropyran over gamma-Al2O3	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						62	70		10.1016/j.apcatb.2018.12.039								WOS:000467661700007						
J	Lin, Y; Wu, SH; Yang, CP; Chen, M; Li, X				Lin, Yan; Wu, Shaohua; Yang, Chunping; Chen, Ming; Li, Xiang			Preparation of size-controlled silver phosphate catalysts and their enhanced photocatalysis performance via synergetic effect with MWCNTs and PANI	APPLIED CATALYSIS B-ENVIRONMENTAL																	Yang, Chunping/0000-0003-3987-2722												0926-3373	1873-3883				MAY 15	2019	245						71	86		10.1016/j.apcatb.2018.12.048								WOS:000467661700008						
J	Yang, Y; Zhang, C; Huang, DL; Zeng, GM; Huang, JH; Lai, C; Zhou, CY; Wang, WJ; Guo, H; Xue, WJ; Deng, R; Cheng, M; Xiong, WP				Yang, Yang; Zhang, Chen; Huang, Danlian; Zeng, Guangming; Huang, Jinhui; Lai, Cui; Zhou, Chengyun; Wang, Wenjun; Guo, Hai; Xue, Wenjing; Deng, Rui; Cheng, Min; Xiong, Weiping			Boron nitride quantum dots decorated ultrathin porous g-C3N4: Intensified exciton dissociation and charge transfer for promoting visible-light-driven molecular oxygen activation	APPLIED CATALYSIS B-ENVIRONMENTAL																	Zhang, Chen/0000-0002-3579-6980												0926-3373	1873-3883				MAY 15	2019	245						87	99		10.1016/j.apcatb.2018.12.049								WOS:000467661700009						
J	Resende, KA; Braga, AH; Noronha, FB; Hori, CE				Resende, Karen A.; Braga, Adriano H.; Noronha, Fabio B.; Hori, Carla E.			Hydrodeoxygenation of phenol over Ni/Ce1-xNbxO2 catalysts	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						100	113		10.1016/j.apcatb.2018.12.040								WOS:000467661700010						
J	Zhang, GQ; Ou, W; Wang, J; Xu, YS; Xu, D; Sun, T; Xiao, SN; Wang, MR; Li, HX; Chen, W; Su, CL				Zhang, Guoqiang; Ou, Wei; Wang, Jun; Xu, Yangsen; Xu, Dong; Sun, Tao; Xiao, Shuning; Wang, Mengran; Li, Hexing; Chen, Wei; Su, Chenliang			Stable, carrier separation tailorable conjugated microporous polymers as a platform for highly efficient photocatalytic H-2 evolution	APPLIED CATALYSIS B-ENVIRONMENTAL																; CHEN, Wei/F-4658-2010	Xiao, Shuning/0000-0002-1312-9386; CHEN, Wei/0000-0002-1131-3585												0926-3373	1873-3883				MAY 15	2019	245						114	121		10.1016/j.apcatb.2018.12.007								WOS:000467661700011						
J	Peng, LS; Zheng, XQ; Li, L; Zhang, L; Yang, N; Xiong, K; Chen, HM; Li, J; Wei, ZD				Peng, Lishan; Zheng, Xingqun; Li, Li; Zhang, Ling; Yang, Na; Xiong, Kun; Chen, Hongmei; Li, Jing; Wei, Zidong			Chimney effect of the interface in metal oxide/metal composite catalysts on the hydrogen evolution reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						122	129		10.1016/j.apcatb.2018.12.035								WOS:000467661700012						
J	Hu, JS; Zhang, PF; An, WJ; Liu, L; Liang, YH; Cui, WQ				Hu, Jinshan; Zhang, Pengfei; An, Weijia; Liu, Li; Liang, Yinghua; Cui, Wenquan			In-situ Fe-doped g-C3N4 heterogeneous catalyst via photocatalysis-Fenton reaction with enriched photocatalytic performance for removal of complex wastewater	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						130	142		10.1016/j.apcatb.2018.12.029								WOS:000467661700013						
J	Kaur, M; Umar, A; Mehta, SK; Kansal, SK				Kaur, Manjot; Umar, Ahmad; Mehta, Surinder Kumar; Kansal, Sushil Kumar			Reduced graphene oxide-CdS heterostructure: An efficient fluorescent probe for the sensing of Ag(I) and sunset yellow and a visible-light responsive photocatalyst for the degradation of levofloxacin drug in aqueous phase	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						143	158		10.1016/j.apcatb.2018.12.042								WOS:000467661700014						
J	Sordello, F; Berruti, I; Gionco, C; Paganini, MC; Calza, P; Minero, C				Sordello, Fabrizio; Berruti, Ilaria; Gionco, Chiara; Paganini, Maria Cristina; Calza, Paola; Minero, Claudio			Photocatalytic performances of rare earth element-doped zinc oxide toward pollutant abatement in water and wastewater	APPLIED CATALYSIS B-ENVIRONMENTAL																Minero, Claudio/A-6444-2008	Minero, Claudio/0000-0001-9484-130X												0926-3373	1873-3883				MAY 15	2019	245						159	166		10.1016/j.apcatb.2018.12.053								WOS:000467661700015						
J	Navarro-Pardo, F; Tong, X; Selopal, GS; Cloutier, SG; Sun, SH; Tavares, AC; Zhao, HG; Wang, ZMM; Rosei, F				Navarro-Pardo, Fabiola; Tong, Xin; Selopal, Gurpreet S.; Cloutier, Sylvain G.; Sun, Shuhui; Tavares, Ana C.; Zhao, Haiguang; Wang, Zhiming M.; Rosei, Federico			Graphene oxide/cobalt-based nanohybrid electrodes for robust hydrogen generation	APPLIED CATALYSIS B-ENVIRONMENTAL																; Tong, Xin/N-5652-2014	Tavares, Ana C./0000-0003-4657-781X; Tong, Xin/0000-0001-6066-056X												0926-3373	1873-3883				MAY 15	2019	245						167	176		10.1016/j.apcatb.2018.12.041								WOS:000467661700016						
J	Xia, DH; Liu, HD; Xu, BH; Wang, YC; Liao, YH; Huang, YJ; Ye, LQ; He, C; Wong, PK; Qiu, RL				Xia, Dehua; Liu, Huadan; Xu, Bohong; Wang, Yunchen; Liao, Yuhong; Huang, Yajing; Ye, Liqun; He, Chun; Wong, Po Keung; Qiu, Rongliang			Single Ag atom engineered 3D-MnO2 porous hollow microspheres for rapid photothermocatalytic inactivation of E. coli under solar light	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						177	189		10.1016/j.apcatb.2018.12.056								WOS:000467661700017						
J	Han, Y; Yue, DT; Kan, M; Wu, YW; Zeng, J; Bian, ZF; Zhao, YX; Qian, XF				Han, Yu; Yue, Dongting; Kan, Miao; Wu, Yunwen; Zeng, Jun; Bian, Zhenfeng; Zhao, Yixin; Qian, Xufang			[Mo3S13](2-) modified TiO2 coating on non-woven fabric for efficient photocatalytic mineralization of acetone	APPLIED CATALYSIS B-ENVIRONMENTAL																	Bian, Zhenfeng/0000-0001-7552-8027												0926-3373	1873-3883				MAY 15	2019	245						190	196		10.1016/j.apcatb.2018.12.060								WOS:000467661700018						
J	Cheng, JS; Hu, Z; Li, Q; Li, XF; Fang, S; Wu, XF; Li, M; Ding, YB; Liu, B; Yang, CJ; Wen, LL; Liu, Y; Lv, KL				Cheng, Jinshui; Hu, Zhao; Li, Qin; Li, Xiaofang; Fang, Shun; Wu, Xiaofeng; Li, Mei; Ding, Yaobin; Liu, Bing; Yang, Changjun; Wen, Lili; Liu, Yi; Lv, Kangle			Fabrication of high photoreactive carbon nitride nanosheets by polymerization of amidinourea for hydrogen production	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						197	206		10.1016/j.apcatb.2018.12.044								WOS:000467661700019						
J	Su, SS; Cao, CJ; Zhao, YP; Dionysiou, DD				Su, Shanshan; Cao, Chengjin; Zhao, Yaping; Dionysiou, Dionysios D.			Efficient transformation and elimination of roxarsone and its metabolites by a new alpha-FeOOH@GCA activating persulfate system under UV irradiation with subsequent As(V) recovery	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						207	219		10.1016/j.apcatb.2018.12.050								WOS:000467661700020						
J	Wang, SM; Li, ZY; Guan, Y; Lu, L; Shi, Z; Weng, P; Yan, SC; Zou, ZG				Wang, Shaomang; Li, Zhongyu; Guan, Yuan; Lu, Lei; Shi, Zhan; Weng, Peng; Yan, Shicheng; Zou, Zhigang			Visible light driven TaON/V2O5 heterojunction photocatalyst for deep elimination of volatile-aromatic compounds	APPLIED CATALYSIS B-ENVIRONMENTAL																	Yan, Shicheng/0000-0002-3432-9117												0926-3373	1873-3883				MAY 15	2019	245						220	226		10.1016/j.apcatb.2018.12.067								WOS:000467661700021						
J	Liu, Y; Wygant, BR; Kawashima, K; Mabayoje, O; Hong, TE; Lee, SG; Lin, J; Kim, JH; Yubuta, K; Li, WZ; Li, J; Mullins, CB				Liu, Yang; Wygant, Bryan R.; Kawashima, Kenta; Mabayoje, Oluwaniyi; Hong, Tae Eun; Lee, Sang-Geul; Lin, Jie; Kim, Jun-Hyuk; Yubuta, Kunio; Li, Wenzhang; Li, Jie; Mullins, C. Buddie			Facet effect on the photoelectrochemical performance of a WO3/BiVO4 heterojunction photoanode	APPLIED CATALYSIS B-ENVIRONMENTAL																; Kawashima, Kenta/V-6231-2018	Liu, Yang/0000-0002-7240-1546; Kawashima, Kenta/0000-0001-7318-6115												0926-3373	1873-3883				MAY 15	2019	245						227	239		10.1016/j.apcatb.2018.12.058								WOS:000467661700022						
J	Leu, MK; Vicente, I; Fernandes, JA; De Pedro, I; Dupont, J; Sans, V; Licence, P; Gual, A; Cano, I				Leu, Meike K.; Vicente, Isabel; Fernandes, Jesum Alves; De Pedro, Imanol; Dupont, Jairton; Sans, Victor; Licence, Peter; Gual, Aitor; Cano, Israel			On the real catalytically active species for CO2 fixation into cyclic carbonates under near ambient conditions: Dissociation equilibrium of [BMIm] [Fe(NO)(2)Cl-2] dependant on reaction temperature	APPLIED CATALYSIS B-ENVIRONMENTAL																; Dupont, Jairton/F-7161-2010	Sans, Victor/0000-0001-7045-5244; Dupont, Jairton/0000-0003-3237-0770												0926-3373	1873-3883				MAY 15	2019	245						240	250		10.1016/j.apcatb.2018.12.062								WOS:000467661700023						
J	Wu, J; Gao, G; Li, Y; Sun, P; Wang, J; Li, FW				Wu, Jun; Gao, Guang; Li, Yong; Sun, Peng; Wang, Jia; Li, Fuwei			Highly chemoselective hydrogenation of lactone to diol over efficient copper-based bifunctional nanocatalysts	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				MAY 15	2019	245						251	261		10.1016/j.apcatb.2018.12.068								WOS:000467661700024						
