PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Gomez-Aviles, A; Penas-Garzon, M; Bedia, J; Dionysiou, DD; Rodriguez, JJ; Belver, C				Gomez-Aviles, A.; Penas-Garzon, M.; Bedia, J.; Dionysiou, D. D.; Rodriguez, J. J.; Belver, C.			Mixed Ti-Zr metal-organic-frameworks for the photodegradation of acetaminophen under solar irradiation	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						253	262		10.1016/j.apcatb.2019.04.040								WOS:000469904500028						
J	Li, XK; Li, CX; Xiang, D; Zhang, CM; Xia, L; Liu, XY; Zheng, FQ; Xie, XY; Zhang, YL; Chen, W				Li, Xiaokun; Li, Cuixia; Xiang, Dong; Zhang, Chunmei; Xia, Lu; Liu, Xingyu; Zheng, Fuqin; Xie, Xiaoyu; Zhang, Youlin; Chen, Wei			Self-limiting synthesis of Au-Pd core shell nanocrystals with a near surface alloy and monolayer Pd shell structure and their superior catalytic activity on the conversion of hexavalent chromium	APPLIED CATALYSIS B-ENVIRONMENTAL																	Chen, Wei/0000-0001-5700-0114												0926-3373	1873-3883				SEP 15	2019	253						263	270		10.1016/j.apcatb.201.9.04.071								WOS:000469904500029						
J	Lv, H; Sun, LZ; Xu, DD; Ma, YH; Liu, B				Lv, Hao; Sun, Lizhi; Xu, Dongdong; Ma, Yanhang; Liu, Ben			When ternary PdCuP alloys meet ultrathin nanowires: Synergic boosting of catalytic performance in ethanol electrooxidation	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						271	277		10.1016/j.apcatb.2019.04.066								WOS:000469904500030						
J	Kong, LS; Fang, GD; Chen, YF; Xie, M; Zhu, F; Ma, L; Zhou, DM; Zhan, JH				Kong, Lingshuai; Fang, Guodong; Chen, Yufeng; Xie, Meng; Zhu, Feng; Ma, Long; Zhou, Dongmei; Zhan, Jinhua			Efficient activation of persulfate decomposition by Cu2FeSnS4 nanomaterial for bisphenol A degradation: Kinetics, performance and mechanism studies	APPLIED CATALYSIS B-ENVIRONMENTAL																	Zhan, Jinhua/0000-0003-0548-8028												0926-3373	1873-3883				SEP 15	2019	253						278	285		10.1016/j.apcatb.2019.04.069								WOS:000469904500031						
J	Nahim-Granados, S; Oller, I; Malato, S; Perez, JAS; Polo-Lopez, MI				Nahim-Granados, S.; Oller, I.; Malato, S.; Sanchez Perez, J. A.; Polo-Lopez, M. I.			Commercial fertilizer as effective iron chelate (Fe3+ -EDDHA) for wastewater disinfection under natural sunlight for reusing in irrigation	APPLIED CATALYSIS B-ENVIRONMENTAL																Sanchez Perez, Jose Antonio/B-5328-2015	Sanchez Perez, Jose Antonio/0000-0001-5635-3137												0926-3373	1873-3883				SEP 15	2019	253						286	292		10.1016/j.apcatb.2019.04.041								WOS:000469904500032						
J	Cui, W; Chen, LC; Li, JY; Zhou, Y; Sun, YJ; Jiang, GM; Lee, SC; Dong, F				Cui, Wen; Chen, Lvcun; Li, Jieyuan; Zhou, Ying; Sun, Yanjuan; Jiang, Guangming; Lee, S. C.; Dong, Fan			Ba-vacancy induces semiconductor-like photocatalysis on insulator BaSO4	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						293	299		10.1016/j.apcatb.2019.04.070								WOS:000469904500033						
J	Galiote, NA; Oliveira, FER; Lima, FHB				Galiote, N. A.; Oliveira, F. E. R.; Lima, F. H. B.			FeCo-N-C oxygen reduction electrocatalysts: Activity of the different compounds produced during the synthesis via pyrolysis	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						300	308		10.1016/j.apcatb.2019.04.057								WOS:000469904500034						
J	Ghubayra, R; Nuttall, C; Hodgkiss, S; Craven, M; Kozhevnikova, EF; Kozhevnikov, IV				Ghubayra, Reem; Nuttall, Charlotte; Hodgkiss, Sophie; Craven, Michael; Kozhevnikova, Elena F.; Kozhevnikov, Ivan V.			Oxidative desulfurization of model diesel fuel catalyzed by carbon-supported heteropoly acids	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						309	316		10.1016/j.apcatb.2019.04.063								WOS:000469904500035						
J	Cao, XC; Zheng, XJ; Sun, ZH; Jin, C; Tian, JH; Sun, SR; Yang, RZ				Cao, Xuecheng; Zheng, Xiangjun; Sun, Zhihui; Jin, Chao; Tian, Jinghua; Sun, Shaorui; Yang, Ruizhi			Oxygen defect-ridden molybdenum oxide-coated carbon catalysts for Li-O-2 battery cathodes	APPLIED CATALYSIS B-ENVIRONMENTAL																	Yang, Ruizhi/0000-0002-9025-7496												0926-3373	1873-3883				SEP 15	2019	253						317	322		10.1016/j.apcatb.2019.04.077								WOS:000469904500036						
J	Wang, XS; Chen, CH; Ichihara, F; Oshikiri, M; Liang, J; Li, L; Li, YX; Song, H; Wang, SY; Zhang, T; Huang, YB; Cao, R; Ye, JH				Wang, Xu-Sheng; Chen, Chun-Hui; Ichihara, Fumihiko; Oshikiri, Mitsutake; Liang, Jun; Li, Lan; Li, Yunxiang; Song, Hui; Wang, Shengyao; Zhang, Teng; Huang, Yuan-Biao; Cao, Rong; Ye, Jinhua			Integration of adsorption and photosensitivity capabilities into a cationic multivariate metal-organic framework for enhanced visible-light photoreduction reaction	APPLIED CATALYSIS B-ENVIRONMENTAL																													0926-3373	1873-3883				SEP 15	2019	253						323	330		10.1016/j.apcatb.2019.04.074								WOS:000469904500037						
